"","V1","V2","V3","V4","V5","V6","V7","V8"
"ENSG00000009724",38,28,66,24,42,41,47,36
"ENSG00000116649",1004,1255,1122,1313,1100,1879,745,1536
"ENSG00000120942",218,256,233,252,269,465,207,400
"ENSG00000120948",2751,2080,3353,1614,3519,3716,2220,1990
"ENSG00000171819",4,50,19,543,1,10,14,1067
"ENSG00000171824",869,1075,1115,1051,944,1405,748,1590
"ENSG00000175262",0,0,4,1,0,0,1,0
"ENSG00000198793",1546,1719,1745,1970,2099,3280,1237,2521
"ENSG00000207213",0,0,0,0,0,0,0,0
"ENSG00000207451",0,0,0,1,0,0,0,0
"ENSG00000215785",0,0,1,0,0,0,0,0
"ENSG00000225602",1,0,0,1,0,0,0,0
"ENSG00000226849",2,0,1,1,2,6,1,2
"ENSG00000230337",2,0,4,4,0,5,1,3
"ENSG00000238173",0,0,0,0,0,0,0,0
"ENSG00000238199",0,1,0,0,2,0,0,0
"ENSG00000253086",1,0,0,0,0,0,0,0
"ENSG00000264181",0,0,0,0,0,0,0,0
"ENSG00000271794",0,0,0,0,0,0,0,0
"ENSG00000271895",42,37,36,26,31,42,33,23
